precision,step,elapsed_seconds,monitor_loss
fp8,0,3.1293859580764547,8.987128257751465
fp8,512,99.48579450009856,6.47283798456192
fp8,512,105.84809891704936,6.47283798456192
fp8,512,213.03345208417159,6.47283798456192
fp8,1024,303.72946079215035,6.146294261328876
fp8,1536,411.71568879217375,5.920376846799627
fp8,2048,525.136779584107,5.756890400312841
fp8,2560,650.0454701671842,5.60927179758437
fp8,3072,766.726026751101,5.505046146688983
fp8,3584,869.6701667921152,5.449769405997358
fp8,4096,970.4031031260965,5.349435664480552
fp8,4096,976.2099926669616,5.349435664480552
fp8,4608,1079.4672702919925,5.333224073925521
fp8,5120,1194.1658245839644,5.316586975706741
fp8,5632,1299.8887254589936,5.275850132922642
fp8,6144,1405.949741458986,5.2715109556447715
fp8,6656,1509.0663245420437,5.253698825603351
fp8,7168,1606.4983613759978,5.24322748882696
fp8,7680,1702.8112128339708,5.2200098829343915
fp8,7680,1723.1453665001318,5.2200098829343915
fp8,8192,1811.5593252921244,5.174604999076109
fp8,8192,1816.975751542137,5.174604999076109
fp8,8704,1920.2152539171511,5.191369772655889
fp8,9216,2043.996736126137,5.1726938132196665
fp8,9728,2157.4857545840787,5.150746636441909
fp8,10240,2269.7493103761226,5.097991063492373
fp8,10752,2375.031359001063,5.135695701930672
fp8,11264,2481.1453978341306,5.11608035559766
fp8,11776,2589.8486730840523,5.109607115620747
fp8,12288,2696.3173503761645,5.117427746998146
fp8,12288,2701.4717478760285,5.117427746998146
fp8,12800,2811.37688962603,5.078032461111434
fp8,13312,2922.2993351260666,5.0686232156003825
fp8,13824,3036.3104831670644,5.051377590280026
fp8,14336,3142.4298033759696,4.993321398389526
fp8,14848,3229.2579362510005,4.915582344576251
fp8,15360,3319.7671396259684,4.856388197164051
fp8,15360,3323.6625672100345,4.856388197164051
fp8,15872,3404.937753126025,4.819311266968725
fp8,16384,3486.1828233350534,4.771820173715241
bf16,0,2.7529216250404716,8.955580711364746
bf16,512,42.787223499966785,6.415404722094536
bf16,512,46.03036120790057,6.415404722094536
bf16,1024,88.47257454192732,6.075589241459966
bf16,1536,131.29007616697345,5.84466541511938
bf16,2048,180.15724916697945,5.6915864064358175
bf16,2560,230.37940824998077,5.512734981952235
bf16,3072,276.5235881669214,5.432140768505633
bf16,3584,320.36776541697327,5.369951675180346
bf16,4096,362.91083816695027,5.320654342882335
bf16,4096,366.32262200000696,5.320654342882335
bf16,4608,400.63280025008135,5.296927751740441
bf16,5120,435.5616780840792,5.281065937597305
bf16,5632,468.91171450004913,5.272321434691548
bf16,6144,502.0370418340899,5.27629488974344
bf16,6656,535.2761849170784,5.264777569100261
bf16,7168,568.2467105000978,5.224709818838164
bf16,7680,601.23539295909,5.195211230078712
bf16,8192,646.3708699170966,5.138055303134024
bf16,8192,650.8685878750402,5.138055303134024
bf16,8704,696.8789724580711,5.199744799523614
bf16,9216,748.193189832964,5.1439032659400254
bf16,9728,796.8709863330005,5.14962949976325
bf16,10240,841.2414597499883,5.102913603419438
bf16,10752,887.294466958032,5.130326329031959
bf16,11264,929.5247819160577,5.116685299668461
bf16,11776,969.0163356249686,5.097796335350722
bf16,12288,1006.1060983750504,5.102135256398469
bf16,12288,1009.4050982920453,5.102135256398469
bf16,12800,1043.9417595841223,5.0651493886252865
bf16,13312,1080.6443152501015,5.016315411543474
bf16,13824,1115.2806201251224,4.995303233154118
bf16,14336,1149.5189970420906,4.940662904409692
bf16,14848,1187.296780167031,4.88988697581226
bf16,15360,1230.3971162501257,4.8470082458807155
bf16,15872,1273.2126809591427,4.812843548017554
bf16,15872,1277.9968064998975,4.812843548017554
bf16,16384,1314.8346946248785,4.770946877892129
